episode,GE_DQN_smoothed,IDM_lc,DQN_lc,DuelingDQN_lc
100,2.22807,0,4.08934,2.82753
200,2.34436,0,3.95235,2.87463
300,2.76218,0,4.09954,3.12946
400,2.4998,0,4.26461,3.09541
500,2.79514,0,3.90317,2.96249
600,2.58987,0,3.89317,2.98347
700,2.64166,0,4.24584,3.20887
800,2.56966,0,4.07349,2.82835
900,3.05046,0,3.81611,3.04942
1000,2.6673,0,4.00851,2.89289
1100,2.44846,0,3.79732,2.88313
1200,2.81451,0,3.78685,3.13976
1300,2.39583,0,3.91839,3.07842
1400,2.67177,0,3.47734,3.06937
1500,2.22807,0,3.50502,3.1611
1600,2.34436,0,3.72754,2.89753
1700,2.63937,0,3.62743,3.02306
1800,2.73769,0,3.88285,2.81795
1900,2.61427,0,3.6284,2.93817
2000,2.54687,0,3.51754,2.84064
2100,2.49978,0,4.08313,2.8794
2200,2.73484,0,3.73484,2.97236
2300,2.78351,0,3.78351,2.68302
2400,2.47505,0,3.47505,3.25848
2500,2.64112,0,3.64112,2.63213
2600,2.76218,0,3.76218,2.58383
2700,2.4998,0,3.4998,3.05162
2800,2.79514,0,3.79514,2.97167
2900,2.58987,0,3.58987,2.93149
3000,2.64166,0,3.64166,2.92567
3100,2.56966,0,3.56966,2.79088
3200,3.05046,0,4.05046,2.60722
3300,2.6673,0,3.6673,2.79516
3400,2.44846,0,3.44846,2.6379
3500,2.81451,0,3.81451,2.96169
3600,2.39583,0,3.39583,2.73059
3700,2.26216,0,3.67177,2.58823
3800,2.35816,0,3.22807,2.68239
3900,2.47625,0,3.34436,2.82259
4000,2.59511,0,3.63937,2.62059
4100,2.29417,0,3.73769,2.56222
4200,2.34287,0,3.61427,2.76874
4300,2.14873,0,3.54687,2.76233
4400,2.12076,0,3.49978,2.60528
4500,2.51251,0,3.2543,2.60579
4600,2.61125,0,3.39603,2.73974
4700,2.3156,0,3.43787,2.39705
4800,2.52071,0,3.73142,2.39851
4900,2.38233,0,3.57872,2.52964
5000,2.17098,0,3.14739,2.62398
5100,2.36228,0,3.55482,2.72218
5200,2.58761,0,3.40298,2.9484
5300,2.26283,0,3.33462,2.8182
5400,2.57293,0,3.58234,2.60801
5500,1.72605,0,3.6562,2.62953
5600,2.62626,0,3.62626,2.42616
5700,2.26216,0,3.26216,2.6163
5800,2.35816,0,3.35816,2.5556
5900,2.47625,0,3.47625,2.67121
6000,2.59511,0,3.59511,2.43455
6100,2.29417,0,3.29417,2.6972
6200,2.34287,0,3.34287,2.89321
6300,2.14873,0,3.14873,2.55825
6400,2.12076,0,3.12076,2.65368
6500,2.51251,0,3.51251,2.7047
6600,2.61125,0,3.61125,2.47976
6700,2.3156,0,3.3156,2.59815
6800,2.52071,0,3.52071,2.54919
6900,2.38233,0,3.38233,2.55954
7000,2.17098,0,3.17098,2.37873
7100,2.36228,0,3.36228,2.53157
7200,2.58761,0,3.58761,2.6196
7300,2.26283,0,3.26283,2.80356
7400,2.57293,0,3.57293,2.69852
7500,1.72605,0,2.72605,2.93064
7600,2.40438,0,3.40438,2.33986
7700,2.24741,0,3.24741,2.66113
7800,2.1602,0,3.1602,2.51667
7900,2.22835,0,3.22835,2.91129
8000,1.80249,0,2.80249,2.30501
8100,2.14607,0,3.14607,2.29206
8200,2.25142,0,3.25142,2.33345
8300,2.46558,0,3.46558,2.02189
8400,2.05635,0,3.05635,2.33485
8500,1.9883,0,2.9883,2.28151
8600,2.03965,0,3.03965,2.45675
8700,2.31308,0,3.31308,2.48835
8800,2.18575,0,3.18575,2.78857
8900,2.00405,0,3.00405,2.59675
9000,2.20265,0,3.20265,2.28462
9100,2.10942,0,3.10942,2.21365
9200,2.27373,0,3.27373,2.48505
9300,1.92959,0,2.92959,2.11595
9400,1.99447,0,2.99447,2.73963
9500,1.97158,0,2.97158,2.60255
9600,1.7473,0,2.7473,2.26616
9700,2.08922,0,3.08922,2.01071
9800,2.07221,0,3.07221,2.61744
9900,2.01102,0,3.01102,2.31709
10000,1.95308,0,2.95308,2.5809
10100,1.70693,0,2.70693,2.00778
10200,1.89587,0,2.89587,2.20012
10300,1.90146,0,2.90146,2.31438
10400,1.79954,0,2.79954,2.31606
10500,1.91774,0,2.91774,2.20999
10600,2.02081,0,3.02081,2.4179
10700,2.30724,0,3.30724,2.07314
10800,1.95492,0,2.95492,2.25152
10900,1.96151,0,2.96151,2.29739
11000,1.88511,0,2.88511,2.36955
11100,1.50625,0,2.50625,2.40232
11200,1.8747,0,2.8747,2.0284
11300,1.88205,0,2.88205,1.93984
11400,2.35265,0,3.35265,2.49554
11500,1.81153,0,2.81153,2.2998
11600,1.90031,0,2.90031,2.07697
11700,1.82306,0,2.82306,2.53023
11800,1.58626,0,2.58626,2.23647
11900,2.03856,0,3.03856,2.44253
12000,1.95039,0,2.95039,2.2135
12100,1.94821,0,2.94821,2.60548
12200,1.59812,0,2.59812,2.53773
12300,2.05056,0,3.05056,2.13021
12400,1.47963,0,2.47963,2.36765
12500,1.86737,0,2.86737,2.29574
12600,2.17809,0,3.17809,2.43373
12700,1.53189,0,2.53189,1.96035
12800,1.60674,0,2.60674,2.28388
12900,1.72993,0,2.72993,2.35168
13000,1.5993,0,2.5993,1.78159
13100,1.37987,0,2.37987,1.89001
13200,1.69371,0,2.69371,1.71215
13300,1.45754,0,2.45754,2.05945
13400,1.75472,0,2.75472,2.25018
13500,1.46612,0,2.46612,2.40047
13600,1.94999,0,2.94999,2.10815
13700,1.47335,0,2.47335,2.41239
13800,1.55559,0,2.55559,1.80398
13900,1.7727,0,2.7727,1.73266
14000,1.35383,0,2.35383,2.05556
14100,1.63549,0,2.63549,2.13681
14200,1.84143,0,2.84143,2.04679
14300,1.2485,0,2.2485,1.63318
14400,1.59693,0,2.59693,2.02218
14500,1.60198,0,2.60198,1.77244
14600,1.69636,0,2.69636,2.1606
14700,1.28261,0,2.28261,2.09332
14800,1.25591,0,2.25591,1.82536
14900,1.61439,0,2.61439,1.90389
15000,1.5594,0,2.5594,1.78816
15100,1.5401,0,2.5401,1.9808
15200,1.54929,0,2.54929,2.1777
15300,1.334,0,2.334,1.78285
15400,1.50645,0,2.50645,2.07414
15500,1.50861,0,2.50861,1.86062
15600,1.29713,0,2.29713,1.80143
15700,1.80315,0,2.80315,1.93193
15800,1.51477,0,2.51477,1.73962
15900,1.17174,0,2.17174,1.82927
16000,1.53131,0,2.53131,1.69376
16100,1.19506,0,2.19506,2.31961
16200,1.53742,0,2.53742,1.92705
16300,1.60172,0,2.60172,1.77339
16400,1.19586,0,2.19586,1.94946
16500,1.54268,0,2.54268,1.87753
16600,1.42256,0,2.42256,1.84914
16700,1.49441,0,2.49441,2.0095
16800,1.69936,0,2.69936,2.0315
16900,1.26092,0,2.26092,1.76723
17000,1.14925,0,2.14925,1.7515
17100,1.1121,0,2.1121,1.80499
