Episode,Reward,Risk,Collisions,LaneChanges,Speed,TTC
100,26.938000000000006,1.0135999999999998,1.0,3.3,0.0,0.0
200,24.863,1.0139,1.0,4.6,0.0,0.0
300,22.823,1.0271000000000001,1.0,2.9,0.0,0.0
400,25.451,1.0169,1.0,2.9,0.0,0.0
500,24.675,1.0153,1.0,3.6,0.0,0.0
600,20.577,1.0292,1.0,4.9,0.0,0.0
700,20.619999999999997,1.0271000000000001,1.0,3.3,0.0,0.0
800,23.022,1.0231,1.0,4.2,0.0,0.0
900,26.008000000000003,1.0281,1.0,2.8,0.0,0.0
1000,30.854000000000003,1.0118999999999998,0.9,2.9,0.0,0.0
1100,27.479999999999997,1.0219,1.0,1.7,0.0,0.0
1200,26.994,1.0223,0.9,1.7,0.0,0.0
1300,29.332000000000004,1.0072999999999999,0.9,1.6,0.0,0.0
1400,29.972999999999995,0.9851000000000001,0.8,1.2,0.0,0.0
1500,29.921999999999997,1.0165,0.9,1.6,0.0,0.0
1600,32.165000000000006,0.9886999999999999,0.7,1.0,0.0,0.0
1700,34.203,0.9837,0.7,1.4,0.0,0.0
1800,26.375,1.0265999999999997,1.0,1.4,0.0,0.0
1900,35.641999999999996,0.9663,0.6,1.4,0.0,0.0
2000,25.912,1.0145,0.9,1.0,0.0,0.0
2100,31.482,0.9945999999999999,0.8,1.8,0.0,0.0
2200,30.198,1.0016000000000003,0.8,1.2,0.0,0.0
2300,26.831,1.02,0.9,1.2,0.0,0.0
2400,27.246,1.0162,0.9,1.0,0.0,0.0
2500,30.330000000000002,0.9964999999999999,0.8,1.0,0.0,0.0
2600,33.005,0.9707999999999999,0.7,1.0,0.0,0.0
2700,24.805999999999994,1.0276,1.0,1.0,0.0,0.0
2800,35.900999999999996,0.9812,0.7,1.2,0.0,0.0
2900,26.182000000000006,1.0169000000000001,1.0,1.6,0.0,0.0
3000,23.058,1.0288999999999997,1.0,1.2,0.0,0.0
3100,26.485999999999997,1.0142,0.9,1.0,0.0,0.0
3200,25.555,1.004,1.0,1.7,0.0,0.0
3300,30.702000000000005,0.9803,0.8,1.0,0.0,0.0
3400,28.949,1.0077000000000003,1.0,1.0,0.0,0.0
3500,27.07,1.0161000000000002,1.0,1.0,0.0,0.0
3600,28.046,1.002,0.9,1.0,0.0,0.0
3700,26.464,1.0256,1.0,1.0,0.0,0.0
3800,34.940000000000005,0.9825000000000002,0.7,1.0,0.0,0.0
3900,26.486,1.0076,0.9,1.0,0.0,0.0
4000,27.236,1.0029,0.9,1.4,0.0,0.0
4100,25.68,1.0261999999999998,1.0,1.8,0.0,0.0
4200,23.386000000000003,1.0314999999999999,1.0,1.5,0.0,0.0
4300,24.717999999999996,1.0080999999999998,1.0,1.3,0.0,0.0
4400,26.425,0.9888000000000001,0.9,0.6,0.0,0.0
4500,26.531,0.9899000000000001,0.9,1.1,0.0,0.0
4600,28.127999999999997,1.0139,1.0,1.3,0.0,0.0
4700,23.469999999999995,1.0262999999999998,1.0,3.0,0.0,0.0
4800,28.591,1.0001,0.9,2.1,0.0,0.0
4900,23.439,1.0333999999999999,1.0,8.1,0.0,0.0
5000,20.762999999999998,1.0344000000000002,1.0,6.6,0.0,0.0
5100,25.498,1.0138,1.0,6.1,0.0,0.0
5200,23.653999999999996,1.0165,1.0,4.8,0.0,0.0
5300,34.265,1.0446,1.0,0.1,0.0,0.0
5400,27.845,1.0023000000000002,1.0,0.1,0.0,0.0
5500,25.871,1.0026,1.0,0.7,0.0,0.0
5600,25.058,1.0027,1.0,0.0,0.0,0.0
5700,29.721000000000004,1.0026,1.0,0.1,0.0,0.0
5800,28.058,1.0047000000000001,1.0,0.2,0.0,0.0
