episode,avg_speed,avg_accel,avg_gap,avg_risk,avg_lane_change,episode_reward
100,22.9037188686,-0.8705119598100001,0.0,0.18177616994,1.74,64.0344958935
200,22.8458485172,-0.8038926449599999,0.0,0.21371676582,1.92,68.6614837537
300,23.000972732,-0.8612340016500001,0.0,0.14526485075,2.13,63.0415610684
400,22.8195632102,-0.82962119219,0.0,0.23578022424,2.05,67.7671885876
500,22.8436667692,-0.83691715836,0.0,0.16986836356,1.87,66.91854379329999
600,22.914396695199997,-0.8466507645500001,0.0,0.18421421391999998,1.85,64.9196577659
700,22.959244893999998,-0.86534231918,0.0,0.18293877585,1.84,63.1800527936
800,22.9414770675,-0.84014189874,0.0,0.13541567009,2.35,65.0283979393
900,22.958920600699997,-0.84596445453,0.0,0.12600734407,2.27,64.99983443320001
1000,23.0531714461,-0.8349613879400001,0.0,0.14028145301,2.16,63.5198337919
1100,23.0158881459,-0.8494340903600001,0.0,0.15279234018,1.98,63.39913587390001
1200,22.9409228197,-0.8242454100000001,0.0,0.12546162838,2.26,65.8943281728
1300,23.0106678787,-0.84298620753,0.0,0.14657742044,1.57,64.32771712120001
1400,22.924288560700003,-0.85815452273,0.0,0.12449658155,2.17,64.6675898023
1500,22.965313651699997,-0.87121099331,0.0,0.12782080745,2.3,63.5199151803
1600,22.8086929278,-0.8108101703299999,0.0,0.16578551736000002,1.45,69.40244796910001
1700,22.842879242600002,-0.8027373785599999,0.0,0.15732064727,1.4,68.4543307895
1800,22.977003215,-0.80627380818,0.0,0.11721987731,1.35,67.2513322044
1900,22.8849385202,-0.819338331,0.0,0.11863044267999999,1.15,67.0823469801
2000,22.8793617947,-0.81175611435,0.0,0.20597343365,1.07,68.8752971807
2100,22.8564212369,-0.81553597545,0.0,0.26430121131,0.94,68.0690512294
2200,22.700129141799998,-0.78862030046,0.0,0.28449661418,1.45,71.2394993369
2300,22.863752215599998,-0.84381717117,0.0,0.15575973534999998,1.6,66.1316716958
2400,22.9607193924,-0.8140038809700001,0.0,0.11228476240999999,1.84,66.6115315397
2500,22.8948874136,-0.80783077838,0.0,0.17307547159999997,1.26,68.7219779556
2600,22.9434818093,-0.8423141759,0.0,0.14840145519,1.49,66.3349168909
2700,22.8730831479,-0.8174746960100001,0.0,0.19362713488,1.2,67.7632582278
2800,22.7996542713,-0.7865058144299999,0.0,0.22228145571,1.54,70.4263680076
2900,22.8463793696,-0.79354673187,0.0,0.19124591179,1.67,68.8057010822
3000,22.8119107906,-0.8290102631899999,0.0,0.23528548298000002,1.31,67.9742125865
3100,22.820770251099997,-0.81972462972,0.0,0.26154432929,1.14,68.2790243382
3200,22.8151302304,-0.79456802844,0.0,0.20365727204999998,1.42,69.9456351714
3300,22.928269006,-0.82970864972,0.0,0.1818583291,1.39,65.64591098609999
3400,22.9405451682,-0.8401411522700001,0.0,0.19988944077999998,1.79,65.566363
3500,22.8116256303,-0.8013152032899999,0.0,0.24036946021,1.86,69.6869047071
3600,22.855164992,-0.85440939383,0.0,0.25225718384,1.35,66.1408175378
3700,22.8921173554,-0.8204373590599999,0.0,0.18982014454,1.57,66.51442992749999
3800,22.951360873600002,-0.8418311161600001,0.0,0.17092895152,1.54,66.3113016817
3900,22.944697162500002,-0.82242189149,0.0,0.16412555244,1.42,66.67406043289999
4000,22.827738866,-0.7948886706499999,0.0,0.23225234231999997,1.19,68.8515460829
4100,22.7929771572,-0.80746842908,0.0,0.268253119,1.44,69.058679246
4200,22.930718574399997,-0.83755621015,0.0,0.19233154437,1.37,65.5729373714
4300,22.944294235500003,-0.8522377025100001,0.0,0.17173610081,1.12,64.70634045130001
4400,22.727300496399998,-0.79224203594,0.0,0.31338944242,0.71,69.8844571642
4500,22.6043087524,-0.76647335453,0.0,0.34932284400999997,1.29,73.7038720123
4600,22.6671865906,-0.7536033575800001,0.0,0.31533106792,1.61,73.0983694098
4700,22.746261799499997,-0.81652345275,0.0,0.28032028108,1.09,68.97862201310001
4800,22.6972447568,-0.82098660025,0.0,0.3450282554,1.06,69.9067852976
4900,22.323135272600002,-0.7490366750699999,0.0,0.53534981201,1.91,78.7002987486
5000,22.4485893233,-0.79108302827,0.0,0.49467982702,1.81,74.8038406609
5100,22.459719484900003,-0.76591811141,0.0,0.55728073705,0.67,75.1394674408
5200,22.3068906676,-0.74236638329,0.0,0.53291827535,0.59,80.0212456916
5300,22.3114391584,-0.7517881370499999,0.0,0.48426405412,0.58,79.0702049544
5400,22.8543299956,-0.82240119782,0.0,0.22883697354,1.48,66.9054398108
5500,22.8462296995,-0.8024008610500001,0.0,0.19135775138,1.83,67.5224324066
5600,22.7856950241,-0.8049880558,0.0,0.23395175975000002,2.09,69.00123730930001
5700,22.961779101799998,-0.83479164066,0.0,0.09499125651,1.8,65.0795704713
5800,22.941356077400002,-0.81979664039,0.0,0.0964998192,1.62,66.5537099197
5900,22.8266646254,-0.81291826586,0.0,0.25709891882,1.13,68.7026023859
6000,22.479612322100003,-0.7702323154399999,0.0,0.46674678029,0.87,75.8155157309
6100,22.511977217499997,-0.78899948838,0.0,0.39975914718,1.44,73.5952204364
6200,22.497937483199998,-0.7708818573099999,0.0,0.41045217624999997,1.34,73.9205674127
6300,22.4530031306,-0.8118601195499999,0.0,0.40504921017,1.79,73.8242008113
6400,22.321144781900003,-0.7975096453099999,0.0,0.46833546513999996,1.46,76.8745581437
6500,22.500627523200002,-0.78970896625,0.0,0.48328675048999997,1.1,76.0157565994
6600,22.426405238399997,-0.82793506863,0.0,0.44019366789000003,2.04,72.50220466959999
6700,22.2548636185,-0.80783686644,0.0,0.5105248487899999,2.36,77.6598616028
6800,22.5685713915,-0.81041563486,0.0,0.33511376236,1.84,73.8836729804
6900,22.3018604258,-0.76687144321,0.0,0.44637812389,1.8,79.8930563886
7000,22.4181956712,-0.7683036078300001,0.0,0.42598939142,1.97,75.8418054664
7100,22.6508040187,-0.8049389883800001,0.0,0.23195712159999998,2.3,70.6389381734
7200,22.766794215700003,-0.80833464328,0.0,0.25827274843000003,1.11,69.25723734479999
7300,22.6235788105,-0.8238631293299999,0.0,0.32171356586,1.5,70.6223509126
7400,22.67443409,-0.78541386789,0.0,0.30532653163,1.61,71.99891233139999
7500,22.4687538838,-0.76440397459,0.0,0.35821141633000003,1.28,76.3641393549
7600,22.5039581584,-0.78166490206,0.0,0.34716677494000003,1.53,73.0007524208
7700,22.5066969699,-0.7629560761899999,0.0,0.34889468246,2.23,75.818189193
7800,22.754362318600002,-0.81528090746,0.0,0.28891601582,1.87,67.6386577116
7900,22.450368186699997,-0.77626337906,0.0,0.39764117843,1.29,76.853201351
8000,21.8914000472,-0.6870288814,0.0,0.62341066614,0.64,91.6604091591
8100,22.163959267099997,-0.7502110327,0.0,0.5350599594100001,1.53,83.2293071278
8200,22.1941391019,-0.72435441291,0.0,0.51104104883,1.56,83.88050844089999
8300,22.211471391099998,-0.7491827608299999,0.0,0.47493244108,2.26,82.64777705910001
8400,22.476623965499996,-0.78614545474,0.0,0.45600940543,1.89,75.5751807677
8500,22.0995197084,-0.7162592637199999,0.0,0.54622654161,1.7,85.4011259642
8600,22.4658802917,-0.74336713229,0.0,0.36691435923,1.63,77.79232175119999
8700,22.4235188719,-0.74325920666,0.0,0.40866881601000005,1.37,77.69003153759999
8800,22.126422482600002,-0.73787337871,0.0,0.49040177368000004,2.43,83.2432484089
8900,21.869124829500002,-0.71860654284,0.0,0.6113061749300001,0.69,92.17479173010001
9000,22.3645313088,-0.72310197579,0.0,0.37753847119,0.97,82.79113055760001
9100,22.724108742600002,-0.80143669725,0.0,0.24233316911,1.49,69.6005158262
9200,22.4428844292,-0.75730303017,0.0,0.40602629587000005,1.22,75.3744921438
9300,22.283632809300002,-0.7310865112499999,0.0,0.46614751446,1.12,81.4205129025
9400,22.614374160900002,-0.8030683085,0.0,0.31966020614,1.9,72.3974966753
9500,22.412199272600002,-0.7879046580000001,0.0,0.38390587085999994,1.94,75.8524698487
9600,22.399436495499998,-0.75153870573,0.0,0.44446354819999995,1.64,78.3096036852
9700,22.235944508000003,-0.7551419432500001,0.0,0.49237521261,1.93,81.585811964
9800,22.4095091639,-0.76201562038,0.0,0.33620935819000003,1.91,76.9200539293
9900,22.651462848,-0.7757517282999999,0.0,0.22981227948000002,1.86,72.6084105667
10000,22.4946072375,-0.77344707743,0.0,0.35619308196,1.41,76.0125867402
10100,22.4054695842,-0.7984515677199999,0.0,0.39813881181,1.62,75.87971801249999
